
2024/05/07 (11:15:56) | ===> btop++ v.1.3.2
2024/05/07 (11:15:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:15:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:15:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:15:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:15:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:16:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:17:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
